Laser id,Elevation,Azimuth
1,15.139,0.157
2,13.432,0.129
3,11.919,1.258
4,10.634,1.247
5,9.967,0.145
6,9.3,0.123
7,8.621,0.1
8,7.945,0.078
9,7.595,1.338
10,7.244,1.316
11,6.905,1.298
12,6.55,1.28
13,6.193,1.282
14,5.843,1.334
15,5.482,1.314
16,5.116,1.363
17,4.768,0.141
18,4.402,0.099
19,4.04,0.171
20,3.68,0.15
21,3.314,0.115
22,2.94,0.097
23,2.58,0.166
24,2.203,0.123
25,2.081,-3.092
26,1.967,1.374
27,1.844,4.55
28,1.71,-3.071
29,1.596,1.362
30,1.474,4.542
31,1.333,-3.033
32,1.23,1.385
33,1.109,4.535
34,0.97,-3.053
35,0.856,1.33
36,0.734,4.609
37,0.597,-3.085
38,0.477,1.314
39,0.361,4.528
40,0.217,-3.064
41,0.102,0.15
42,-0.012,2.981
43,-0.146,-1.431
44,-0.272,0.173
45,-0.387,2.954
46,-0.522,-1.445
47,-0.649,0.139
48,-0.757,2.941
49,-0.899,-1.478
50,-1.018,0.161
51,-1.135,3.027
52,-1.272,-1.455
53,-1.397,0.131
54,-1.512,3.015
55,-1.648,-1.495
56,-1.777,0.115
57,-1.884,2.985
58,-2.028,-1.47
59,-2.146,0.202
60,-2.261,3.012
61,-2.397,-1.505
62,-2.526,0.188
63,-2.639,2.975
64,-2.775,-1.521
65,-2.894,1.399
66,-3.016,4.636
67,-3.154,-3.055
68,-3.271,1.374
69,-3.394,4.623
70,-3.534,-3.068
71,-3.644,1.382
72,-3.768,4.595
73,-3.913,-3.078
74,-4.022,1.336
75,-4.149,4.621
76,-4.285,-3.093
77,-4.405,1.351
78,-4.52,4.587
79,-4.662,-3.104
80,-4.777,1.358
81,-4.896,4.613
82,-5.043,-3.119
83,-5.155,1.407
84,-5.272,4.677
85,-5.419,-3.126
86,-5.539,1.421
87,-5.654,4.665
88,-5.806,-3.147
89,-5.907,0.198
90,-6.288,0.194
91,-6.669,0.171
92,-7.039,0.178
93,-7.416,0.148
94,-7.794,0.149
95,-8.173,0.123
96,-8.546,0.126
97,-8.915,1.427
98,-9.295,1.408
99,-9.666,1.433
100,-10.041,1.386
101,-10.414,1.411
102,-10.785,1.385
103,-11.15,1.363
104,-11.521,1.362
105,-11.895,0.2
106,-12.26,0.179
107,-12.638,0.154
108,-12.992,0.133
109,-13.368,0.217
110,-13.727,0.194
111,-14.096,0.169
112,-14.451,0.147
113,-14.806,1.568
114,-15.167,1.59
115,-15.517,1.516
116,-15.881,1.536
117,-16.233,1.584
118,-16.585,1.557
119,-16.934,1.509
120,-17.288,1.533
121,-17.642,0.361
122,-18.332,0.336
123,-19.005,0.313
124,-19.665,0.285
125,-20.318,1.59
126,-21.598,1.551
127,-22.989,0.312
128,-24.71,0.302
