Channel,Elevation,Azimuth
1,12.93,2.4
2,12.73,-0.65
3,12.53,2.4
4,12.33,-0.65
5,12.13,2.4
6,11.93,-0.65
7,11.73,2.4
8,11.53,-0.65
9,11.33,2.4
10,11.13,-0.65
11,10.93,2.4
12,10.73,-0.65
13,10.53,2.4
14,10.33,-0.65
15,10.13,2.4
16,9.93,-0.65
17,9.73,-2.4
18,9.53,0.65
19,9.33,-2.4
20,9.13,0.65
21,8.93,-2.4
22,8.73,0.65
23,8.53,-2.4
24,8.33,0.65
25,8.13,-2.4
26,7.93,0.65
27,7.73,-2.4
28,7.53,0.65
29,7.33,-2.4
30,7.13,0.65
31,6.93,-2.4
32,6.73,0.65
33,6.53,2.4
34,6.33,-0.65
35,6.13,2.4
36,5.93,-0.65
37,5.73,2.4
38,5.53,-0.65
39,5.33,2.4
40,5.13,-0.65
41,4.93,2.4
42,4.73,-0.65
43,4.53,2.4
44,4.33,-0.65
45,4.13,2.4
46,3.93,-0.65
47,3.73,2.4
48,3.53,-0.65
49,3.33,-2.4
50,3.13,0.65
51,2.93,-2.4
52,2.73,0.65
53,2.53,-2.4
54,2.33,0.65
55,2.13,-2.4
56,1.93,0.65
57,1.73,-2.4
58,1.53,0.65
59,1.33,-2.4
60,1.13,0.65
61,0.93,-2.4
62,0.73,0.65
63,0.53,-2.4
64,0.33,0.65
65,0.13,2.4
66,-0.07,-0.65
67,-0.27,2.4
68,-0.47,-0.65
69,-0.67,2.4
70,-0.87,-0.65
71,-1.07,2.4
72,-1.27,-0.65
73,-1.47,2.4
74,-1.67,-0.65
75,-1.87,2.4
76,-2.07,-0.65
77,-2.27,2.4
78,-2.47,-0.65
79,-2.67,2.4
80,-2.87,-0.65
81,-3.07,-2.4
82,-3.27,0.65
83,-3.47,-2.4
84,-3.67,0.65
85,-3.87,-2.4
86,-4.07,0.65
87,-4.27,-2.4
88,-4.47,0.65
89,-4.67,-2.4
90,-4.87,0.65
91,-5.07,-2.4
92,-5.27,0.65
93,-5.47,-2.4
94,-5.67,0.65
95,-5.87,-2.4
96,-6.07,0.65
97,-6.27,2.4
98,-6.47,-0.65
99,-6.67,2.4
100,-6.87,-0.65
101,-7.07,2.4
102,-7.27,-0.65
103,-7.47,2.4
104,-7.67,-0.65
105,-7.87,2.4
106,-8.07,-0.65
107,-8.27,2.4
108,-8.47,-0.65
109,-8.67,2.4
110,-8.87,-0.65
111,-9.07,2.4
112,-9.27,-0.65
113,-9.47,-2.4
114,-9.67,0.65
115,-9.87,-2.4
116,-10.07,0.65
117,-10.27,-2.4
118,-10.47,0.65
119,-10.67,-2.4
120,-10.87,0.65
121,-11.07,-2.4
122,-11.27,0.65
123,-11.47,-2.4
124,-11.67,0.65
125,-11.87,-2.4
126,-12.07,0.65
127,-12.27,-2.4
128,-12.47,0.65
